block_timestamp	variable	value
200601	spam	59
200602	spam	54
200603	spam	53
200604	spam	49
200605	spam	88
200606	spam	133
200607	spam	123
200608	spam	128
200609	spam	196
200610	spam	219
200611	spam	358
200612	spam	225
200701	spam	258
200702	spam	298
200703	spam	353
200704	spam	302
200705	spam	253
200706	spam	236
200707	spam	313
200708	spam	371
200709	spam	333
200710	spam	337
200711	spam	294
200712	spam	244
200801	spam	319
200802	spam	354
200803	spam	406
200804	spam	443
200805	spam	573
200806	spam	544
200807	spam	655
200808	spam	607
200809	spam	667
200810	spam	759
200811	spam	546
200812	spam	643
200901	spam	935
200902	spam	964
200903	spam	930
200904	spam	1139
200905	spam	1081
200906	spam	2133
200907	spam	1571
200908	spam	1296
200909	spam	1002
200910	spam	790
200911	spam	648
200912	spam	991
201001	spam	877
201002	spam	777
201003	spam	961
201004	spam	1242
201005	spam	1288
201006	spam	1494
201007	spam	1058
201008	spam	948
201009	spam	1039
201010	spam	1085
201011	spam	1343
201012	spam	1358
201101	spam	1342
201102	spam	1136
201103	spam	1228
201104	spam	880
201105	spam	860
201106	spam	1132
201107	spam	1127
201108	spam	1518
201109	spam	1210
201110	spam	1380
201111	spam	1229
201112	spam	1337
201201	spam	1286
201202	spam	1303
201203	spam	1238
201204	spam	1114
201205	spam	1669
201206	spam	1318
201207	spam	1509
201208	spam	1270
201209	spam	1524
201210	spam	1895
201211	spam	1262
201212	spam	1337
201301	spam	1487
201302	spam	1407
201303	spam	1565
201304	spam	1681
201305	spam	1656
201306	spam	1843
201307	spam	1593
201308	spam	1604
201309	spam	1756
200601	bad.edit	1679
200602	bad.edit	1880
200603	bad.edit	2397
200604	bad.edit	1968
200605	bad.edit	2497
200606	bad.edit	1936
200607	bad.edit	2075
200608	bad.edit	2229
200609	bad.edit	2505
200610	bad.edit	3200
200611	bad.edit	3682
200612	bad.edit	3394
200701	bad.edit	3916
200702	bad.edit	4078
200703	bad.edit	4733
200704	bad.edit	4469
200705	bad.edit	4473
200706	bad.edit	3460
